id_atendimento,id_cliente,id_funcionario,unidade,servico,valor,data,forma_pagamento
1,2136,1,Asa Sul,Corte,53.89,2025-08-03,Dinheiro
2,2042,29,Asa Norte,Barba,25.39,2024-10-09,Pix
3,501,20,Asa Norte,Sobrancelha,24.57,2025-01-26,Pix
4,1144,14,Asa Norte,Barba,34.4,2025-06-20,Dinheiro
5,2795,2,Asa Sul,Sobrancelha,23.45,2025-07-07,Dinheiro
6,1088,10,Ceilândia,Barba,28.36,2024-07-28,Dinheiro
7,1186,37,Taguatinga,Pigmentação,83.37,2025-05-25,Cartão
8,1766,39,Asa Sul,Barba,33.69,2025-03-26,Dinheiro
9,2261,8,Asa Norte,Pigmentação,55.04,2024-07-29,Dinheiro
10,1446,26,Asa Norte,Hidratação,108.08,2024-06-11,Cartão
11,1260,33,Ceilândia,Barba,31.6,2024-06-06,Dinheiro
12,658,22,Taguatinga,Pigmentação,59.82,2024-09-01,Dinheiro
13,2610,35,Asa Sul,Sobrancelha,32.24,2026-05-10,Pix
14,1380,26,Asa Sul,Sobrancelha,26.01,2024-12-19,Cartão
15,1826,37,Asa Norte,Pigmentação,61.69,2024-12-25,Cartão
16,2127,12,Taguatinga,Sobrancelha,20.81,2025-12-24,Dinheiro
17,836,6,Asa Norte,Corte,54.3,2025-10-08,Dinheiro
18,893,30,Taguatinga,Sobrancelha,28.24,2025-05-18,Dinheiro
19,885,9,Ceilândia,Barba,34.79,2025-07-24,Pix
20,2179,28,Asa Norte,Barba,28.39,2025-07-20,Pix
21,1842,5,Ceilândia,Barba,37.01,2025-03-13,Cartão
22,18,27,Asa Sul,Sobrancelha,32.82,2026-04-17,Pix
23,1543,30,Taguatinga,Pigmentação,87.37,2025-11-02,Cartão
24,1397,13,Ceilândia,Pigmentação,87.4,2025-02-03,Dinheiro
25,405,13,Asa Sul,Barba,38.82,2024-10-07,Pix
26,1208,6,Ceilândia,Sobrancelha,26.73,2026-03-19,Pix
27,294,26,Asa Sul,Corte,45.17,2026-01-12,Cartão
28,2572,18,Ceilândia,Corte,61.51,2025-12-23,Cartão
29,429,20,Ceilândia,Pigmentação,58.03,2025-03-04,Dinheiro
30,406,21,Taguatinga,Sobrancelha,22.39,2026-01-14,Pix
31,2615,35,Asa Sul,Sobrancelha,22.92,2025-02-06,Dinheiro
32,1896,11,Asa Norte,Sobrancelha,23.63,2024-07-16,Dinheiro
33,2252,39,Ceilândia,Barba,26.37,2025-03-08,Pix
34,1783,13,Asa Norte,Corte,44.15,2025-03-02,Cartão
35,899,5,Ceilândia,Barba,27.71,2024-08-14,Pix
36,278,7,Asa Sul,Barba,27.29,2026-04-17,Cartão
37,2490,35,Asa Sul,Barba,38.4,2024-06-11,Cartão
38,910,39,Asa Sul,Pigmentação,87.83,2024-09-08,Cartão
39,2993,35,Taguatinga,Pigmentação,71.71,2024-12-17,Dinheiro
40,769,39,Ceilândia,Sobrancelha,22.31,2026-03-11,Dinheiro
41,919,24,Taguatinga,Pigmentação,61.58,2026-01-24,Cartão
42,579,26,Asa Sul,Corte,61.72,2025-04-10,Pix
43,923,11,Taguatinga,Hidratação,96.8,2024-06-02,Cartão
44,2797,12,Asa Norte,Hidratação,61.68,2024-09-04,Pix
45,1205,40,Asa Norte,Barba,39.65,2025-02-16,Cartão
46,2054,28,Asa Norte,Hidratação,101.82,2025-12-15,Dinheiro
47,2413,9,Asa Norte,Barba,35.66,2024-08-22,Pix
48,2803,15,Asa Norte,Barba,31.2,2024-12-14,Dinheiro
49,2379,35,Asa Norte,Hidratação,79.55,2024-05-26,Pix
50,2427,11,Asa Sul,Sobrancelha,20.07,2024-09-13,Cartão
51,2246,24,Ceilândia,Corte,44.7,2025-07-25,Cartão
52,1178,1,Taguatinga,Pigmentação,60.09,2024-06-08,Cartão
53,2762,35,Asa Sul,Hidratação,79.93,2025-12-21,Pix
54,1076,9,Taguatinga,Barba,35.61,2024-12-05,Cartão
55,2371,2,Asa Sul,Corte,62.8,2025-11-19,Dinheiro
56,2420,14,Ceilândia,Pigmentação,86.8,2025-12-22,Cartão
57,1996,19,Asa Sul,Sobrancelha,24.4,2025-10-02,Dinheiro
58,2777,12,Ceilândia,Corte,48.35,2024-11-30,Cartão
59,1629,4,Ceilândia,Pigmentação,50.47,2025-08-01,Pix
60,1621,19,Asa Norte,Hidratação,72.95,2025-03-16,Pix
61,1211,1,Asa Sul,Corte,50.48,2024-05-27,Cartão
62,2631,40,Asa Sul,Pigmentação,76.82,2026-05-03,Cartão
63,2007,27,Taguatinga,Hidratação,94.77,2025-12-25,Cartão
64,1497,2,Asa Sul,Pigmentação,52.87,2026-01-09,Pix
